kelas_id,dosen_id,kuesioner,skor_kues,nilai_akhir
2021232130,1266,"{""25"": 4.0000000000000000, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.8888888888888889, ""2"": 3.8666666666666667, ""3"": 4.0000000000000000}",3.9237837037037037
2021121829,930,"{""25"": 3.5000000000000000, ""26"": 3.5000000000000000, ""27"": 3.5000000000000000}","{""1"": 3.3333333333333333, ""2"": 3.6000000000000000, ""3"": 3.5000000000000000}",
2021145191,430,"{""25"": 3.2500000000000000, ""26"": 3.4285714285714286, ""27"": 3.5000000000000000}","{""1"": 3.2261904761904762, ""2"": 3.3285714285714286, ""3"": 3.3750000000000000}",3.6702431746031746
2021129233,336,"{""25"": 3.4615384615384615, ""26"": 3.6153846153846154, ""27"": 3.6923076923076923}","{""1"": 3.2564102564102564, ""2"": 3.5230769230769231, ""3"": 3.3653846153846154}",3.6017054314860766
2021152537,207,"{""25"": 3.8666666666666667, ""26"": 3.8666666666666667, ""27"": 3.8666666666666667}","{""1"": 3.6000000000000000, ""2"": 3.7866666666666667, ""3"": 3.5333333333333333}",3.5891619047619048
2022157426,905,"{""21"": 3.8333333333333335, ""22"": 3.75, ""23"": 3.5833333333333335, ""24"": 3.8333333333333335, ""25"": 3.7916666666666665, ""26"": 3.7916666666666665, ""27"": 3.7916666666666665, ""28"": 3.4166666666666665, ""29"": 3.8333333333333335, ""30"": 3.8333333333333335, ""35"": 3.75, ""37"": 3.8333333333333335}","{""1"": 3.7222222222222222, ""2"": 3.7250000000000000, ""3"": 3.7916666666666667}",3.8692592592592593
2022157426,2825,"{""25"": 3.9166666666666667, ""26"": 3.8750000000000000, ""27"": 3.9166666666666667}","{""1"": 3.7222222222222222, ""2"": 3.7916666666666667, ""3"": 3.7916666666666667}",3.8737037037037037
2021186544,905,"{""25"": 3.6769230769230769, ""26"": 3.6769230769230769, ""27"": 3.7538461538461538}","{""1"": 3.4923076923076923, ""2"": 3.6461538461538461, ""3"": 3.6615384615384616}",
2021102568,1096,"{""25"": 4.0000000000000000, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.7916666666666667, ""2"": 3.9500000000000000, ""3"": 3.8125000000000000}",3.7902511111111111
2021150015,431,"{""25"": 4.0000000000000000, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.6666666666666667, ""2"": 4.0000000000000000, ""3"": 4.0000000000000000}",3.9205663492063492
